document,degradation,level,nb_mots_verite_terrain,nb_mots_ocr,cer,wer,taux_mots_detectes,taux_mots_manquants
0011859695.png,aucune,original,128,119,0.40272614622057,0.6484375,0.5221238938053098,0.47787610619469023
0011899960.png,aucune,original,117,113,0.2175,0.452991452991453,0.6728971962616822,0.3271028037383178
0011906503.png,aucune,original,242,252,0.5402010050251256,0.7107438016528925,0.7374301675977654,0.26256983240223464
0011973451.png,aucune,original,124,110,0.4475955610357583,0.6774193548387096,0.5327102803738317,0.4672897196261683
0011974919.png,aucune,original,108,104,0.4114441416893733,0.6388888888888888,0.7128712871287128,0.28712871287128716
0011976929.png,aucune,original,80,75,0.24197002141327623,0.4125,0.7323943661971831,0.2676056338028169
0012178355.png,aucune,original,151,140,0.390359168241966,0.6158940397350994,0.6454545454545455,0.3545454545454545
0012199830.png,aucune,original,83,64,0.36983471074380164,0.6024096385542169,0.4857142857142857,0.5142857142857142
0012529284.png,aucune,original,218,176,0.668936170212766,0.7844036697247706,0.6114649681528662,0.3885350318471338
0012529295.png,aucune,original,254,199,0.6271899088997898,0.8346456692913385,0.5080213903743316,0.4919786096256684
0012602424.png,aucune,original,219,165,0.6264,0.7808219178082192,0.4662576687116564,0.5337423312883436
0012947358.png,aucune,original,288,270,0.514460511679644,0.7291666666666666,0.5607476635514018,0.4392523364485982
0013255595.png,aucune,original,34,30,0.42857142857142855,0.5294117647058824,0.5882352941176471,0.4117647058823529
00283813.png,aucune,original,165,214,0.7592954990215264,1.0303030303030303,0.6454545454545455,0.3545454545454545
0030031163.png,aucune,original,131,130,0.28232189973614774,0.3816793893129771,0.8585858585858586,0.14141414141414144
0030041455.png,aucune,original,64,59,0.0856269113149847,0.328125,0.7358490566037735,0.26415094339622647
0060000813.png,aucune,original,105,106,0.7082152974504249,0.7714285714285715,0.671875,0.328125
0060007216.png,aucune,original,84,78,0.6517509727626459,0.7380952380952381,0.726027397260274,0.273972602739726
0060024314.png,aucune,original,106,97,0.3451443569553806,0.5660377358490566,0.6292134831460674,0.3707865168539326
0060025670.png,aucune,original,46,46,0.2360248447204969,0.32608695652173914,0.813953488372093,0.18604651162790697
0060029036.png,aucune,original,137,129,0.5746714456391876,0.6934306569343066,0.7433628318584071,0.2566371681415929
0060036622.png,aucune,original,150,123,0.26365795724465557,0.4533333333333333,0.6964285714285714,0.3035714285714286
0060068489.png,aucune,original,225,220,0.5417808219178082,0.6088888888888889,0.6596858638743456,0.3403141361256544
0060077689.png,aucune,original,202,135,0.6368243243243243,0.8316831683168316,0.3710691823899371,0.628930817610063
0060080406.png,aucune,original,182,155,0.5847234416154522,0.7582417582417582,0.474025974025974,0.525974025974026
0060091229.png,aucune,original,99,98,0.12745098039215685,0.4444444444444444,0.6470588235294118,0.3529411764705882
0060094595.png,aucune,original,139,129,0.8180494905385735,0.9496402877697842,0.27184466019417475,0.7281553398058253
0060136394.png,aucune,original,85,45,0.5816876122082585,0.7647058823529411,0.29333333333333333,0.7066666666666667
0060165115.png,aucune,original,104,88,0.6614173228346457,0.8653846153846154,0.358695652173913,0.6413043478260869
0060173256.png,aucune,original,62,32,0.7894736842105263,0.9193548387096774,0.37777777777777777,0.6222222222222222
0060207528.png,aucune,original,176,175,0.4114285714285714,0.6136363636363636,0.5912408759124088,0.4087591240875912
0060214859.png,aucune,original,133,103,0.44523470839260315,0.6842105263157895,0.49523809523809526,0.5047619047619047
0060255888.png,aucune,original,134,116,0.27020506634499397,0.44776119402985076,0.6826923076923077,0.3173076923076923
0060262650.png,aucune,original,225,209,0.5213730569948186,0.6488888888888888,0.6473988439306358,0.35260115606936415
0060270727.png,aucune,original,172,118,0.5868814729574223,0.8546511627906976,0.6330275229357798,0.3669724770642202
0060302201.png,aucune,original,168,176,0.21390374331550802,0.5059523809523809,0.65,0.35
0060308251.png,aucune,original,46,38,0.5286343612334802,0.782608695652174,0.45454545454545453,0.5454545454545454
0060308461.png,aucune,original,153,118,0.5827956989247312,0.869281045751634,0.6,0.4
0071032790.png,aucune,original,79,86,0.45807770961145194,0.5822784810126582,0.7846153846153846,0.2153846153846154
0071032807.png,aucune,original,68,68,0.2411504424778761,0.4117647058823529,0.7377049180327869,0.2622950819672131
00836244.png,aucune,original,181,123,0.6895833333333333,0.8287292817679558,0.25,0.75
00836816.png,aucune,original,175,126,0.2804284323271665,0.4228571428571429,0.5615384615384615,0.43846153846153846
00837285.png,aucune,original,223,221,0.5274151436031331,0.6053811659192825,0.49390243902439024,0.5060975609756098
00838511_00838525.png,aucune,original,61,41,0.39097744360902253,0.45901639344262296,0.5555555555555556,0.4444444444444444
00851772_1780.png,aucune,original,109,91,0.5117241379310344,0.6513761467889908,0.5434782608695652,0.4565217391304348
00851879.png,aucune,original,139,140,0.7405281285878301,0.8848920863309353,0.8392857142857143,0.1607142857142857
00860012_00860014.png,aucune,original,194,179,0.641965678627145,0.7577319587628866,0.4879518072289157,0.5120481927710843
00865872.png,aucune,original,137,67,0.5819397993311036,0.6058394160583942,0.44545454545454544,0.5545454545454546
00866042.png,aucune,original,193,181,0.6555059523809523,0.7668393782383419,0.5521472392638037,0.4478527607361963
00920222.png,aucune,original,178,152,0.3842412451361868,0.5617977528089888,0.6713286713286714,0.32867132867132864
00920294.png,aucune,original,92,71,0.6586345381526104,0.8478260869565217,0.5487804878048781,0.4512195121951219
00922237.png,aucune,original,161,119,0.5150925024342746,0.6770186335403726,0.45112781954887216,0.5488721804511278
01073843.png,aucune,original,171,155,0.7563981042654029,0.8947368421052632,0.39864864864864863,0.6013513513513513
01122115.png,aucune,original,282,245,0.6707938820101966,0.7801418439716312,0.6354166666666666,0.36458333333333337
01150773_01150774.png,aucune,original,161,79,0.7232580961727183,0.8819875776397516,0.3382352941176471,0.6617647058823529
01191071_1072.png,aucune,original,60,58,0.47757255936675463,0.6,0.7543859649122807,0.24561403508771928
01197604.png,aucune,original,95,54,0.6306913996627319,0.7789473684210526,0.27058823529411763,0.7294117647058824
01408099_01408101.png,aucune,original,131,131,0.6002430133657352,0.7938931297709924,0.6428571428571429,0.3571428571428571
11508234.png,aucune,original,233,207,0.7269049224544841,0.8755364806866953,0.6206896551724138,0.3793103448275862
11875011.png,aucune,original,177,176,0.1815856777493606,0.24293785310734464,0.8869565217391304,0.11304347826086958
12052385.png,aucune,original,55,41,0.683076923076923,0.7818181818181819,0.5283018867924528,0.4716981132075472
12603270.png,aucune,original,150,153,0.7367886178861789,0.9,0.6153846153846154,0.3846153846153846
12825369.png,aucune,original,205,196,0.3553459119496855,0.45365853658536587,0.7988165680473372,0.20118343195266275
13149651.png,aucune,original,325,194,0.7466266866566716,0.9723076923076923,0.2403846153846154,0.7596153846153846
660978.png,aucune,original,106,94,0.5721231766612642,0.6981132075471698,0.7078651685393258,0.2921348314606742
71108371.png,aucune,original,266,283,0.5343000557724484,0.706766917293233,0.8404255319148937,0.15957446808510634
71190280.png,aucune,original,66,78,0.7494553376906318,0.9696969696969697,0.6428571428571429,0.3571428571428571
71202511.png,aucune,original,213,194,0.5279693486590038,0.7370892018779343,0.625,0.375
71206427.png,aucune,original,61,69,0.3731958762886598,0.5409836065573771,0.9259259259259259,0.07407407407407407
71341634.png,aucune,original,243,201,0.7960479887085392,0.9835390946502057,0.1941747572815534,0.8058252427184466
71366499.png,aucune,original,71,51,0.720626631853786,0.8873239436619719,0.38181818181818183,0.6181818181818182
71563825.png,aucune,original,240,224,0.35714285714285715,0.5833333333333334,0.6411764705882353,0.35882352941176465
71601299.png,aucune,original,248,242,0.17376373626373626,0.3064516129032258,0.7987012987012987,0.2012987012987013
716552.png,aucune,original,219,186,0.49922600619195046,0.7168949771689498,0.45695364238410596,0.543046357615894
80310840a.png,aucune,original,210,148,0.5101427498121713,0.7571428571428571,0.4484848484848485,0.5515151515151515
80707440_7443.png,aucune,original,179,165,0.27634194831013914,0.3687150837988827,0.7202797202797203,0.2797202797202797
80718412_8413.png,aucune,original,83,72,0.6118811881188119,0.8072289156626506,0.5151515151515151,0.48484848484848486
80728670.png,aucune,original,119,103,0.2927536231884058,0.48739495798319327,0.631578947368421,0.368421052631579
81186212.png,aucune,original,62,61,0.16083916083916083,0.1935483870967742,0.9473684210526315,0.052631578947368474
81310636.png,aucune,original,73,70,0.4895397489539749,0.684931506849315,0.6607142857142857,0.3392857142857143
81574683.png,aucune,original,231,208,0.6098939929328622,0.7445887445887446,0.6594594594594595,0.3405405405405405
81619486_9488.png,aucune,original,154,107,0.5914438502673797,0.7597402597402597,0.5444444444444444,0.4555555555555556
81619511_9513.png,aucune,original,206,186,0.5655114116652579,0.8495145631067961,0.31343283582089554,0.6865671641791045
81749056_9057.png,aucune,original,184,121,0.5975485188968335,0.7445652173913043,0.4496124031007752,0.5503875968992248
82254638.png,aucune,original,139,140,0.5492788461538461,0.8201438848920863,0.5384615384615384,0.46153846153846156
87533049.png,aucune,original,110,97,0.46570972886762363,0.7454545454545455,0.5053763440860215,0.4946236559139785
87672097.png,aucune,original,206,167,0.7111111111111111,0.8689320388349514,0.3902439024390244,0.6097560975609756
87682908.png,aucune,original,125,117,0.5752212389380531,0.696,0.7142857142857143,0.2857142857142857
88057519.png,aucune,original,37,31,0.4936708860759494,0.6756756756756757,0.5588235294117647,0.4411764705882353
88547278_88547279.png,aucune,original,133,186,0.652962515114873,1.0,0.6097560975609756,0.3902439024390244
89368010.png,aucune,original,150,128,0.44384449244060475,0.6066666666666667,0.6880733944954128,0.3119266055045872
89386032.png,aucune,original,92,97,0.2795031055900621,0.3804347826086957,0.8481012658227848,0.15189873417721522
